Loc,Loc Name,Loc St Abbrev,Loc Cnty,Loc Zone,Dir Flo,Loc Type Ind,PipeCode,GFPipeID,PipeName,GFLocID
00805,"FRANKLIN (NEW LONDON,CT)",CT,NEW LONDON,,D,LDC,AGT,100,"Algonquin Gas Transmission, LLC",1000000805
00056,"MORRIS (MORRIS,NJ)",NJ,MORRIS,,D,LDC,AGT,100,"Algonquin Gas Transmission, LLC",1000000056
00045,SOMERS  (WESTCHESTER),NY,WESTCHESTER,,D,LDC,AGT,100,"Algonquin Gas Transmission, LLC",1000000045
73650,"XTO ENERGY - MILL RUN / STEWARTON RAOD, FAYETTE, PA.",PA,FAYETTE,2,R,WHD,TE,120,"Texas Eastern Transmission, LP",1200073650
59025,GALLATIN WEST,TN,SUMNER,,D,LDC,ETNG,105,"East Tennessee Natural Gas, LLC",1050059025
N4732,"BLUE RACER MIDSTREAM-BERNE, MONROE CO.,OH",OH,MONROE,SZ,R,STA,NXUS,115,"NEXUS Gas Transmission, LLC (U.S.)",11500N4732
NA008,ACADIAN ONSHORE RECEIPT (992206),LA,ST MARY,,R,PLT,NPC,113,"Nautilus Pipeline Company, L.L.C.",11300NA008
99831,ORANGE & ROCKLAND,NY,ROCKLAND,,D,LDC,AGT,100,"Algonquin Gas Transmission, LLC",1000099831
70035,"PECO ENERGY - TILGHMAN ST. - CHESTER, PA",PA,DELAWARE,3,D,LDC,TE,120,"Texas Eastern Transmission, LP",1200070035
70579,"COLUMBIA GAS OF  PA.  - ROCKWOOD, PA",PA,SOMERSET,3,D,INT,TE,120,"Texas Eastern Transmission, LP",1200070579
72909,"DAYTON PWR & LT - RED LION, OH CENTERPOINT ENERGY",OH,WARREN,2,D,LDC,TE,120,"Texas Eastern Transmission, LP",1200072909
70299,"FLORENCE, AL",AL,LAUDERDALE,1,D,LDC,TE,120,"Texas Eastern Transmission, LP",1200070299
73410,"CENTERPOINT ENERGY-GATHERING SYSTEM, SHELBY CO., TX (REC)",TX,SHELBY,ETX,R,INT,TE,120,"Texas Eastern Transmission, LP",1200073410
70419,"MEADVILLE, MS",MS,FRANKLIN,ELA,D,LDC,TE,120,"Texas Eastern Transmission, LP",1200070419
30009,CASCO BAY,ME,PENOBSCOT,,D,END,MNUS,111,"Maritimes & Northeast Pipeline, L.L.C. (U.S.)",1110030009
80023,LATERAL T SYSTEM MAINLINE,MA,WORCESTER,,D,STA,AGT,100,"Algonquin Gas Transmission, LLC",1000080023
79723,PEOPLES GAS - ZONE M2 LDC ALLOCATION,PA,WESTMORELAND,3,D,LDC,TE,120,"Texas Eastern Transmission, LP",1200079723
73413,TENNESSEE GAS P/L - HANGING ROCK LATERAL,OH,SCIOTO,2,R,INT,TE,120,"Texas Eastern Transmission, LP",1200073413
73515,"PALMER PETROLEUM INC.-LUMBER GATHERING - ANGELINA CO., TX",TX,ANGELINA,ETX,R,WHD,TE,120,"Texas Eastern Transmission, LP",1200073515
59213,MARION,VA,SMYTH,,D,LDC,ETNG,105,"East Tennessee Natural Gas, LLC",1050059213
73244,"WINN EXPLORATION/KERLICK #1 - DEWITT COUNTY, TX (REC)",TX,DE WITT,STX,R,WHD,TE,120,"Texas Eastern Transmission, LP",1200073244
N1005,NEXUS/ASPIRE ENERGY- CHIPPEWA MEDINA,OH,MEDINA,M1,D,INT,NXUS,115,"NEXUS Gas Transmission, LLC (U.S.)",11500N1005
79140,LATERAL 10-T - DYNEGY FAYETTE - MAINLINE,PA,FAYETTE,2,D,STA,TE,120,"Texas Eastern Transmission, LP",1200079140
G0014,KINETICA DEEPWATER EXPRESS (992106),OF,SOUTH MARSH IS.,,D,INT,GB,106,"Garden Banks Gas Pipeline, LLC",10600G0014
73502,"BUFFCO PRODUCTION, INC - OAK HILL COTTON VALLEY",TX,HARRISON,ETX,R,WHD,TE,120,"Texas Eastern Transmission, LP",1200073502
79711,EQUITRANS LP - LDC ALLOCATION POINT,PA,GREENE,2,D,INT,TE,120,"Texas Eastern Transmission, LP",1200079711
39201,SALEM LATERAL CUSTODY TRANSFER POINT,MA,ESSEX,,D,STA,MNUS,111,"Maritimes & Northeast Pipeline, L.L.C. (U.S.)",1110039201
99854,"HANOVER, NJ FUEL ACCOUNTING METER",NJ,MORRIS,,R,STA,AGT,100,"Algonquin Gas Transmission, LLC",1000099854
59073,AFG GREENLAND,TN,WASHINGTON,,D,LDC,ETNG,105,"East Tennessee Natural Gas, LLC",1050059073
59082,LENOIR CITY,TN,LOUDON,,D,LDC,ETNG,105,"East Tennessee Natural Gas, LLC",1050059082
75332,EGAN GAS STORAGE (73331 INJ/73332 WD),LA,EVANGELINE,WLA,B,STR,TE,120,"Texas Eastern Transmission, LP",1200075332
73362,"SUEMAUR E&P-PEDRAZA #1 - HIDALGO CO., TX (REC)",TX,HIDALGO,STX,R,WHD,TE,120,"Texas Eastern Transmission, LP",1200073362
79543,ELA/M1 ZONE BOUNDARY POINT,MS,ATTALA,ZB,B,STA,TE,120,"Texas Eastern Transmission, LP",1200079543
45309,KM TEJAS (TPGS1070B),TX,MATAGORDA,,B,INT,TPGS,121,Tres Palacios Gas Storage LLC,1210045309
71221,"MISSISSIPPI GAS CORP. - REEVES, LA",LA,ALLEN,WLA,D,LDC,TE,120,"Texas Eastern Transmission, LP",1200071221
72476,"BOWLES PROPERTIES - #1 CHERRY /  RUSK COUNTY, TX",TX,RUSK,,R,WHD,TE,120,"Texas Eastern Transmission, LP",1200072476
N4902,ZONE M1 SERVICE POINT,OH,COLUMBIANA,M1,R,PPT,NXUS,115,"NEXUS Gas Transmission, LLC (U.S.)",11500N4902
00821,"PINEHILLS METER - (PLYMOUTH,MA)",MA,PLYMOUTH,,D,LDC,AGT,100,"Algonquin Gas Transmission, LLC",1000000821
70309,"UGI CENTRAL - POTTSVILLE GAS - BERKS CO., PA",PA,BERKS,3,D,LDC,TE,120,"Texas Eastern Transmission, LP",1200070309
59128,UCG MILLER PARK,TN,SULLIVAN,,D,LDC,ETNG,105,"East Tennessee Natural Gas, LLC",1050059128
73735,BONANZA - STRIKE FORCE MIDSTREAM,OH,MONROE,2,R,WHD,TE,120,"Texas Eastern Transmission, LP",1200073735
73930,"PLANET OPERATIONG/SAVOY 1 HWY 758-ST.LANDRY PARISH, LA",LA,ST LANDRY,WLA,R,WHD,TE,120,"Texas Eastern Transmission, LP",1200073930
71298,"E.TENNESSEE GAS - MT. PLEASANT, GILES CO. TN -DEL (B/D 76298)",TN,GILES,1,D,INT,TE,120,"Texas Eastern Transmission, LP",1200071298
88251,IROQUOIS - BROOKFIELD,CT,FAIRFIELD,,R,INT,AGT,100,"Algonquin Gas Transmission, LLC",1000088251
70364,"MAGNUM PRODUCING, LP - MAY, TX",TX,KLEBERG,STX,R,WHD,TE,120,"Texas Eastern Transmission, LP",1200070364
73257,"KNOX ENERGY COOPERATIVE ASSOCIATION, INC.",OH,PREBLE,2,D,LDC,TE,120,"Texas Eastern Transmission, LP",1200073257
79046,STRATTON RIDGE EXTENSION (MAINLINE),TX,BRAZORIA,STX,D,STA,TE,120,"Texas Eastern Transmission, LP",1200079046
72979,"PECO - DOYLESTOWN, BUCKS CO., PA",PA,BUCKS,3,D,LDC,TE,120,"Texas Eastern Transmission, LP",1200072979
71987,"UGI UTIL - (GRANTVILLE) HERSHEY, PA",PA,DAUPHIN,3,D,LDC,TE,120,"Texas Eastern Transmission, LP",1200071987
59145,UCG MARYVILLE WEST,TN,BLOUNT,,D,LDC,ETNG,105,"East Tennessee Natural Gas, LLC",1050059145
59100,GENERAL SHALE,TN,SULLIVAN,,D,END,ETNG,105,"East Tennessee Natural Gas, LLC",1050059100
N4656,"WILLIAMS OHIO VALLEY MIDSTREAM LLC.-GOSNEY HILL ROAD, MARSH",WV,MARSHALL,SZ,R,STA,NXUS,115,"NEXUS Gas Transmission, LLC (U.S.)",11500N4656
75301,CALPINE BAYER PWR. PLANT-(D73301/R76301),TX,CHAMBERS,STX,B,END,TE,120,"Texas Eastern Transmission, LP",1200075301
79617,ZONE M2 24  PAL POINT OF TRANSACTION,IN,POSEY,2,R,VIR,TE,120,"Texas Eastern Transmission, LP",1200079617
73712,"ENERGY CORPORATION OF AMERICA-RIDGE RD., GREENE CO., PA.",PA,GREENE,2,R,WHD,TE,120,"Texas Eastern Transmission, LP",1200073712
79614,ELA  PAL POINT OF TRANSACTION,LA,ST LANDRY,ELA,R,VIR,TE,120,"Texas Eastern Transmission, LP",1200079614
00822,"PHELPS DODGE (NEW LONDON,CT)",CT,NEW LONDON,,D,END,AGT,100,"Algonquin Gas Transmission, LLC",1000000822
73238,"MISS VALLEY GAS #2 - HINDS CO., MS.",MS,HINDS,ELA,D,INT,TE,120,"Texas Eastern Transmission, LP",1200073238
73304,"ALLEGHNEY ENERGY, CHAMBERSBURG-FRANKLIN CO., PA (DEL)",PA,FRANKLIN,3,D,END,TE,120,"Texas Eastern Transmission, LP",1200073304
73161,"MIDDLE TN GAS MONROE CO, KY",KY,MONROE,2,D,LDC,TE,120,"Texas Eastern Transmission, LP",1200073161
73609,"WILLIAMS - LMM DAVIS (VALLEY VIEW RD INTERCONNECT)  GREENE CO., PA",PA,GREENE,2,R,WHD,TE,120,"Texas Eastern Transmission, LP",1200073609
73556,"GOLDEN PASS PIPELINE - CALCASIEU PARISH,  LA",LA,CALCASIEU,WLA,R,INT,TE,120,"Texas Eastern Transmission, LP",1200073556
73339,"ENTERGY MISSISSIPPI, LLC-CHOCTAW CO., MS",MS,CHOCTAW,1,D,END,TE,120,"Texas Eastern Transmission, LP",1200073339
57000,410 STORAGE WITHDRAWAL,TN,SULLIVAN,,R,STR,ETNG,105,"East Tennessee Natural Gas, LLC",1050057000
70336,"UNION ELEC. - BLOOMFIELD, MO",MO,STODDARD,1,D,LDC,TE,120,"Texas Eastern Transmission, LP",1200070336
79665,M1/M2 30  ILT POINT,TN,CLAY,ZB,B,STA,TE,120,"Texas Eastern Transmission, LP",1200079665
71993,"CIN GAS & ELEC -BUTLER CO., OH",OH,BUTLER,2,D,LDC,TE,120,"Texas Eastern Transmission, LP",1200071993
73116,"DOUGLAS OIL & GAS - FAYETTE CO., PA",PA,FAYETTE,2,R,WHD,TE,120,"Texas Eastern Transmission, LP",1200073116
75275,"CARNEGIE NATURAL GAS - WAYNESBURG, PA-(D71275/R76275)",PA,GREENE,2,B,INT,TE,120,"Texas Eastern Transmission, LP",1200075275
79962,CEDAR BAYOU MAINLINE HEAD OF LATERAL ACCOUNTING POINT,TX,CHAMBERS,STX,D,END,TE,120,"Texas Eastern Transmission, LP",1200079962
30010,"GRANITE STATE, ELIOT - YORK CO., ME",ME,YORK,,D,LDC,MNUS,111,"Maritimes & Northeast Pipeline, L.L.C. (U.S.)",1110030010
79047,STRATTON RIDGE EXTENSION (LATERAL),TX,BRAZORIA,STX,R,STA,TE,120,"Texas Eastern Transmission, LP",1200079047
73070,"CENTANA GATHERING CO. MP 225,LA",LA,MAIN PASS,ELA,R,WHD,TE,120,"Texas Eastern Transmission, LP",1200073070
71075,"ELIZABETHTOWN GAS COMPANY - PERTH AMBOY, NJ",NJ,MIDDLESEX,3,D,LDC,TE,120,"Texas Eastern Transmission, LP",1200071075
37001,PNGTS P/L HOLD POINT,ME,CUMBERLAND,,R,VIR,MNUS,111,"Maritimes & Northeast Pipeline, L.L.C. (U.S.)",1110037001
59109,UCG MOTLOW,TN,MOORE,,D,LDC,ETNG,105,"East Tennessee Natural Gas, LLC",1050059109
N4901,SUPPLY ZONE SERVICE POINT,OH,COLUMBIANA,SZ,R,PPT,NXUS,115,"NEXUS Gas Transmission, LLC (U.S.)",11500N4901
00079,"SOUTHBURY (NEW HAVEN,CT)",CT,NEW HAVEN,,D,LDC,AGT,100,"Algonquin Gas Transmission, LLC",1000000079
72319,"ENERGY XXI GOM, LLC-SP 93",OF,SOUTH PASS,ELA,R,WHD,TE,120,"Texas Eastern Transmission, LP",1200072319
79748,COLUMBIA GAS-PA (MFGRS.) - ZONE 3- LDC ALLOCATION POINT,PA,SOMERSET,3,D,INT,TE,120,"Texas Eastern Transmission, LP",1200079748
71220,"PECO ENERGY - E. GREENVILLE, PA",PA,MONTGOMERY,3,D,LDC,TE,120,"Texas Eastern Transmission, LP",1200071220
30028,"NORTHERN UTILITIES-COTTON RD DELIVERY - ANDROSCOGGIN CO, ME.",ME,ANDROSCOGGIN,,D,LDC,MNUS,111,"Maritimes & Northeast Pipeline, L.L.C. (U.S.)",1110030028
59051,UCG KINGSPORT SOUTH,TN,SULLIVAN,,D,LDC,ETNG,105,"East Tennessee Natural Gas, LLC",1050059051
74219,ACADIAN GAS PIPELINE SYSTEM,LA,BEAUREGARD,WLA,R,INT,TE,120,"Texas Eastern Transmission, LP",1200074219
73699,"DOMINION ENERGY TRANSMISSION, INC - APPALCHIAN GATEWAY, WESTMORELA",PA,WESTMORELAND,2,R,INT,TE,120,"Texas Eastern Transmission, LP",1200073699
72395,"ENTERGY SABINE POWER STATION - ORANGE CO., TX",TX,ORANGE,WLA,D,INT,TE,120,"Texas Eastern Transmission, LP",1200072395
73455,"MCBEE OPERATING COMPANY, LLC-RIPPY #1 NACOG. CO., TX (REC)",TX,NACOGDOCHES,ETX,R,WHD,TE,120,"Texas Eastern Transmission, LP",1200073455
83002,CPGT - DELHI (24  - CENTER POINT P/L),LA,RICHLAND,,R,INT,SESH,116,"Southeast Supply Header, LLC",1160083002
79977,BAYWAY LATERAL,NJ,UNION,3,R,STA,TE,120,"Texas Eastern Transmission, LP",1200079977
00816,"REVERE POWER (PROVIDENCE,RI)",RI,PROVIDENCE,,D,END,AGT,100,"Algonquin Gas Transmission, LLC",1000000816
59022,UCG RADFORD,VA,MONTGOMERY,,D,LDC,ETNG,105,"East Tennessee Natural Gas, LLC",1050059022
71473,"MISSISSIPPI GAS - LEBLANC, LA",LA,ALLEN,WLA,D,LDC,TE,120,"Texas Eastern Transmission, LP",1200071473
72870,TANA EXPLORATION COMPANY LLC MP 175 RUN 1,LA,MAIN PASS,ELA,R,WHD,TE,120,"Texas Eastern Transmission, LP",1200072870
59227,KUB TOPSIDE INTERCONNECT,TN,KNOX,,D,LDC,ETNG,105,"East Tennessee Natural Gas, LLC",1050059227
73882,SEMPRA/CAMERON -GULF MARKET,LA,BEAUREGARD,WLA,D,INT,TE,120,"Texas Eastern Transmission, LP",1200073882
73979,NEW GENERATION GAS GATHERING (MOMENTUM - NG3) - AL CORMIER ROAD -,LA,BEAUREGARD,WLA,R,GTH,TE,120,"Texas Eastern Transmission, LP",1200073979
44100,SALTVILLE STORAGE FACILITY,VA,SMYTH,,D,STR,SGSC,117,Saltville Gas Storage Company L.L.C.,1170044100
73654,GOM SHELF LLC  CA 43,OF,CHANDELEUR SOUND,ELA,R,WHD,TE,120,"Texas Eastern Transmission, LP",1200073654
70478,"NEW HARMONY, IL",IL,WHITE,1,D,LDC,TE,120,"Texas Eastern Transmission, LP",1200070478
79144,PHILADELPHIA LATERAL,PA,CHESTER,3,D,STA,TE,120,"Texas Eastern Transmission, LP",1200079144
73970,"FARMERSVILLE INTERCONNECT,  MONTGOMERY CO., OH",OH,MONTGOMERY,2,D,INT,TE,120,"Texas Eastern Transmission, LP",1200073970
75866,"CHENIERE LNG, BEAUREGARD PA,LA (D-73866/R-73566)",LA,BEAUREGARD,WLA,B,LNG,TE,120,"Texas Eastern Transmission, LP",1200075866
G8002,GB PAL TRANSFER (99POOL),OF,GARDEN BANKS,,D,VIR,GB,106,"Garden Banks Gas Pipeline, LLC",10600G8002
79717,NEW JERSEY NATURAL GAS CO. - LDC ALLOCATION POINT,NJ,MIDDLESEX,3,D,LDC,TE,120,"Texas Eastern Transmission, LP",1200079717
59192,UNITED CITIES - WOLF HILLS POWER PLANT,VA,WASHINGTON,,D,END,ETNG,105,"East Tennessee Natural Gas, LLC",1050059192
NA010,ACADIAN GAS PIPELINE (992210),LA,ST MARY,,D,INT,NPC,113,"Nautilus Pipeline Company, L.L.C.",11300NA010
59062,MT PLEASANT CITY,TN,MAURY,,D,LDC,ETNG,105,"East Tennessee Natural Gas, LLC",1050059062
N4436,(DTE) VECTOR - BELLE RIVER -  DELIVERY,MI,ST CLAIR,M2,D,STA,NXUS,115,"NEXUS Gas Transmission, LLC (U.S.)",11500N4436
73677,"EASTERN SHORE NATURAL GAS HONEYBROOK - LANCASTER COUNTY, PA",PA,LANCASTER,3,D,INT,TE,120,"Texas Eastern Transmission, LP",1200073677
N4IL3,(DTE) M1 VECTOR ILT TO (VEC) M2 VECTOR ILT,MI,OAKLAND,M1,D,STA,NXUS,115,"NEXUS Gas Transmission, LLC (U.S.)",11500N4IL3
72808,"COMSTOCK RESOURCES -  #1 DESOTO - DESOTO PSH., LA",LA,DE SOTO,ETX,R,WHD,TE,120,"Texas Eastern Transmission, LP",1200072808
59134,MTUD FRANKLIN,TN,FRANKLIN,,D,LDC,ETNG,105,"East Tennessee Natural Gas, LLC",1050059134
59088,ERPUD SEWANEE,TN,GRUNDY,,D,LDC,ETNG,105,"East Tennessee Natural Gas, LLC",1050059088
30023,MAINE NATGS BOWDOIN,ME,SAGADAHOC,,D,END,MNUS,111,"Maritimes & Northeast Pipeline, L.L.C. (U.S.)",1110030023
71438,"UGI CENTRAL - DAUPHIN CO. GAS - ANNVILLE, PA",PA,LEBANON,3,D,LDC,TE,120,"Texas Eastern Transmission, LP",1200071438
73696,GOMEX VR 282,OF,VERMILLION,WLA,R,WHD,TE,120,"Texas Eastern Transmission, LP",1200073696
79597,MARKET ZONE 2 24  DOWNSTREAM POINT,OH,NO COUNTY NAME,2,D,STA,TE,120,"Texas Eastern Transmission, LP",1200079597
00068,"FARMINGTON (HARTFORD,CT)",CT,HARTFORD,,D,LDC,AGT,100,"Algonquin Gas Transmission, LLC",1000000068
00205,"MENDON (NORFOLK,MA)",MA,NORFOLK,,R,INT,AGT,100,"Algonquin Gas Transmission, LLC",1000000205
N1004,NEXUS/ASPIRE ENERGY - WAKEMAN,OH,HURON,M1,D,INT,NXUS,115,"NEXUS Gas Transmission, LLC (U.S.)",11500N1004
72871,SUMMIT UTILITIES ARKANSAS INC BODCAW AR,AR,NEVADA,ETX,D,INT,TE,120,"Texas Eastern Transmission, LP",1200072871
73902,GAS UTILITIES DISTRICT #1 SPILLMAN DELIVERY STATE HWY 421;W.FELICI,LA,WEST FELICIANA,ELA,D,LDC,TE,120,"Texas Eastern Transmission, LP",1200073902
76672,"FLORIDA GAS - ATCHAFALAYA RIVER,LA-REC (B\D71672)",LA,ST LANDRY,ELA,R,INT,TE,120,"Texas Eastern Transmission, LP",1200076672
N4900,NXUS BALANCING POINT,OH,COLUMBIANA,M1,D,STA,NXUS,115,"NEXUS Gas Transmission, LLC (U.S.)",11500N4900
70089,"CONSUMERS GAS CO. - CARMI, IL",IL,WHITE,1,D,LDC,TE,120,"Texas Eastern Transmission, LP",1200070089
83006,SONAT - GWENVILLE (DEL- 83106),MS,JEFFERSON DAVIS,,R,INT,SESH,116,"Southeast Supply Header, LLC",1160083006
71076,"NEW JERSEY NATURAL - HANOVER, NJ",NJ,MORRIS,3,D,LDC,TE,120,"Texas Eastern Transmission, LP",1200071076
75333,"CENAGAS - REYNOSA, MX (D70333/R76333)",TX,HIDALGO,STX,B,INT,TE,120,"Texas Eastern Transmission, LP",1200075333
70043,"UNION ELECTRIC - DEXTER, MO",MO,STODDARD,1,D,LDC,TE,120,"Texas Eastern Transmission, LP",1200070043
00834,"BELD - BRAINTREE ELECTRIC LIGHT  (NORFOLK,MA)",MA,NORFOLK,,D,END,AGT,100,"Algonquin Gas Transmission, LLC",1000000834
99823,CONNECTICUT NATURAL,CT,HARTFORD,,D,LDC,AGT,100,"Algonquin Gas Transmission, LLC",1000099823
79728,UGI UTILITIES INC. - LDC ALLOCATION POINT,PA,LANCASTER,3,D,LDC,TE,120,"Texas Eastern Transmission, LP",1200079728
73810,"JAMES L NELSON OPERATING/GOEHRING GATHERING-FM 584-GOLIAD CO., TX",TX,GOLIAD,STX,R,WHD,TE,120,"Texas Eastern Transmission, LP",1200073810
40334,TPGS BLACKFIN DELIVERY INTERCONECT,TX,COLORADO,,D,INT,TPGS,121,Tres Palacios Gas Storage LLC,1210040334
59115,UCG LOWLAND,TN,HAMBLEN,,D,LDC,ETNG,105,"East Tennessee Natural Gas, LLC",1050059115
79883,BROOK UN-THRU 70058,NY,RICHMOND,3,D,LDC,TE,120,"Texas Eastern Transmission, LP",1200079883
73205,"MIDDLE TN NAT GAS -WILSON, TN",TN,WILSON,1,D,INT,TE,120,"Texas Eastern Transmission, LP",1200073205
00011,"TAUNTON (BRISTOL, MA)",MA,BRISTOL,,D,LDC,AGT,100,"Algonquin Gas Transmission, LLC",1000000011
45113,"FGT-STORAGE, LA (D40114/R40113)",LA,ACADIA,,B,INT,EHP,104,"Egan Hub Storage, LLC",1040045113
59143,LOUDON NORTH,TN,LOUDON,,D,LDC,ETNG,105,"East Tennessee Natural Gas, LLC",1050059143
79595,MARKET ZONE 1 24  DOWNSTREAM POINT,IL,ANDERSON,1,R,STA,TE,120,"Texas Eastern Transmission, LP",1200079595
79618,ZONE M2 30  PAL POINT OF TRANSACTION,IN,POSEY,2,R,VIR,TE,120,"Texas Eastern Transmission, LP",1200079618
59005,KUB WEST,TN,KNOX,,D,LDC,ETNG,105,"East Tennessee Natural Gas, LLC",1050059005
70463,"UGI CENTRAL - COUNTIES GAS CO. - MIFFLIN CO., PA",PA,MIFFLIN,3,D,LDC,TE,120,"Texas Eastern Transmission, LP",1200070463
72382,"HOUSTON PIPE LINE CO.-ENERFIN LYONDELL SYS./ HARRIS CO., TX",TX,HARRIS,STX,D,INT,TE,120,"Texas Eastern Transmission, LP",1200072382
99832,PROVIDENCE,RI,PROVIDENCE,,D,LDC,AGT,100,"Algonquin Gas Transmission, LLC",1000099832
74903,"PEPL-GAS CITY DELIVERY/ROUTE 26, GRANT CO., IN",IN,GRANT,2,D,INT,TE,120,"Texas Eastern Transmission, LP",1200074903
79615,ZONE M1 24  PAL POINT OF TRANSACTION,AR,PULASKI,1,R,VIR,TE,120,"Texas Eastern Transmission, LP",1200079615
70878,LONG ISL. LIGHTING-(THRU70058),NY,RICHMOND,3,D,LDC,TE,120,"Texas Eastern Transmission, LP",1200070878
73461,"UNIVERSAL NATURAL GAS/INTERCONNECT - MONTGOMERY CO., TX (DEL)",TX,MONTGOMERY,STX,D,INT,TE,120,"Texas Eastern Transmission, LP",1200073461
73703,"WILLIAMS-TRANSCO, LOWER CHANCEFORD-YORK CO., PA.",PA,YORK,3,D,INT,TE,120,"Texas Eastern Transmission, LP",1200073703
73576,"TEXAS GAS- KOSCIUSKO, MS",MS,ATTALA,1,R,INT,TE,120,"Texas Eastern Transmission, LP",1200073576
79540,STX/ETX ZONE BOUNDARY POINT,TX,WALKER,ZB,B,STA,TE,120,"Texas Eastern Transmission, LP",1200079540
00085,"BRISTOL (HARTFORD,CT)",CT,HARTFORD,,D,LDC,AGT,100,"Algonquin Gas Transmission, LLC",1000000085
79722,"SOMERSET, CITY OF - LDC ALLOCATION POINT",KY,CASEY,2,D,LDC,TE,120,"Texas Eastern Transmission, LP",1200079722
59010,UCG BLACKSBURG,VA,MONTGOMERY,,D,LDC,ETNG,105,"East Tennessee Natural Gas, LLC",1050059010
74509,AGT RECEIPT FOR PSEG DEL.,NJ,PASSAIC,3,R,INT,TE,120,"Texas Eastern Transmission, LP",1200074509
71709,"NORAM - JEFFERSON #2, TX  (DELIVERY)",TX,MARION,ETX,D,INT,TE,120,"Texas Eastern Transmission, LP",1200071709
00035,"SALEM PIKE (NORWICH, CT)",CT,NEW LONDON,,D,LDC,AGT,100,"Algonquin Gas Transmission, LLC",1000000035
00055,"BERNARDS (SOMERSET,NJ)",NJ,SOMERSET,,D,LDC,AGT,100,"Algonquin Gas Transmission, LLC",1000000055
57100,410 STORAGE WITHDRAWAL STORAGE SERVICE,TN,SULLIVAN,,R,STR,ETNG,105,"East Tennessee Natural Gas, LLC",1050057100
73636,"SANCHEZ OIL AND GAS/PATMAN GATHERING, JACKSON CO., TX",TX,JACKSON,STX,R,WHD,TE,120,"Texas Eastern Transmission, LP",1200073636
72827,"CITY OF FULTON - ITAWAMBA CO., MS",MS,ITAWAMBA,1,D,LDC,TE,120,"Texas Eastern Transmission, LP",1200072827
73141,"MISSISSIPPI CHEMICAL - YAZOO CITY, MS",MS,YAZOO,ELA,D,END,TE,120,"Texas Eastern Transmission, LP",1200073141
73711,"NTE MIDDLETOWN ENERGY CENTER, BUTLER CO, OH",OH,BUTLER,2,D,END,TE,120,"Texas Eastern Transmission, LP",1200073711
73651,"SAMSON MENHORNE, SOMERSET CO, PA",PA,SOMERSET,3,R,WHD,TE,120,"Texas Eastern Transmission, LP",1200073651
N4VX1,(VEC) BLUEWATER ENERGY CENTER,MI,ST CLAIR,M2,D,STA,NXUS,115,"NEXUS Gas Transmission, LLC (U.S.)",11500N4VX1
00049,"NEW ENGLAND GAS COMPANY WESTPORT (BRISTOL,MA)",MA,BRISTOL,,D,LDC,AGT,100,"Algonquin Gas Transmission, LLC",1000000049
00084,"SOUTHEAST (PUTNAM,NY)",NY,PUTNAM,,D,LDC,AGT,100,"Algonquin Gas Transmission, LLC",1000000084
72636,"PECO ENERGY - MONTGOMERY CO., PA",PA,MONTGOMERY,3,D,LDC,TE,120,"Texas Eastern Transmission, LP",1200072636
79958,"HANOVER, NJ FUEL ACCOUNTING METER",NJ,MORRIS,3,D,COM,TE,120,"Texas Eastern Transmission, LP",1200079958
71814,"ALCOA-LAVACA PIPELINE - CALHOUN, TX  (DELIVERY)",TX,CALHOUN,STX,D,INT,TE,120,"Texas Eastern Transmission, LP",1200071814
59126,UCG GRAY,TN,WASHINGTON,,D,LDC,ETNG,105,"East Tennessee Natural Gas, LLC",1050059126
71200,"CHEVRON - VENICE, LA",LA,PLAQUEMINES,ELA,R,PLT,TE,120,"Texas Eastern Transmission, LP",1200071200
75919,"TRANSCO - BELLE MEADE, NJ (D70919/R76919)",NJ,SOMERSET,3,B,INT,TE,120,"Texas Eastern Transmission, LP",1200075919
72926,"KENT. UTIL. - GARRARD CO., KY",KY,GARRARD,2,D,END,TE,120,"Texas Eastern Transmission, LP",1200072926
72803,"DOMINION EXPLORATION & PRODUCTION, INC.",PA,WESTMORELAND,2,R,WHD,TE,120,"Texas Eastern Transmission, LP",1200072803
49307,CHANNEL ENTERPRISE LDC ALLOCATION POINT,TX,MATAGORDA,,R,OTH,TPGS,121,Tres Palacios Gas Storage LLC,1210049307
79611,STX PAL POINT OF TRANSACTION,TX,JEFFERSON,STX,R,VIR,TE,120,"Texas Eastern Transmission, LP",1200079611
79742,EAST OHIO - LDC ACCOUNTING POINT,OH,MONROE,2,D,LDC,TE,120,"Texas Eastern Transmission, LP",1200079742
71461,"UGI UTIL (COLUMBIA GAS) - RICH HILL, PA",PA,BUCKS,3,D,LDC,TE,120,"Texas Eastern Transmission, LP",1200071461
79921,COMPRESSOR STATION 21A (UNIONTOWN) - MAINLINE,PA,FAYETTE,2,R,COM,TE,120,"Texas Eastern Transmission, LP",1200079921
72834,"TALON ENERGY LLC-PAUL T RAY - LAFOURCHE PSH., LA",LA,LAFOURCHE,ELA,R,WHD,TE,120,"Texas Eastern Transmission, LP",1200072834
88240,COLUMBIA - HANOVER,NJ,MORRIS,,R,INT,AGT,100,"Algonquin Gas Transmission, LLC",1000088240
72571,"UGI UTIL (COLUMBIA GAS) - BALLY, PA",PA,BERKS,3,D,LDC,TE,120,"Texas Eastern Transmission, LP",1200072571
00031,"KENSINGTON NEW HAVEN, CT",CT,HARTFORD,,D,LDC,AGT,100,"Algonquin Gas Transmission, LLC",1000000031
